vbms_id,documents
213912991S,static_documents
968514949S,no_categories
608428712S,random_documents
779309925S,redacted_documents
202708586S,redacted_documents
473218778S,redacted_documents
473949326S,redacted_documents
692291635S,redacted_documents
190085685S,redacted_documents
750998600S,redacted_documents
231439628S,redacted_documents
827234422S,redacted_documents
416322111S,redacted_documents
192920593S,redacted_documents
586864247S,redacted_documents
772437875S,redacted_documents
120649352S,redacted_documents
788282292S,redacted_documents
598042239S,redacted_documents
169397130S,redacted_documents
324661349S,redacted_documents
317484420S,redacted_documents
520557976S,redacted_documents
325010811S,redacted_documents
933747849S,redacted_documents
872958715S,redacted_documents
696650437S,redacted_documents
550356823S,redacted_documents
265036192S,redacted_documents
492937930S,redacted_documents
398981571S,redacted_documents
310981445S,redacted_documents
445416757S,redacted_documents
981775045S,redacted_documents
246424277S,redacted_documents
702473441S,redacted_documents
502307431S,redacted_documents
245620198S,redacted_documents
738464961S,redacted_documents
188144266S,redacted_documents
808415990S,redacted_documents
138034137S,redacted_documents
992190636S,redacted_documents
849386058S,redacted_documents
190595135S,redacted_documents
466031435S,redacted_documents
107924012S,redacted_documents
329146737S,redacted_documents
386753835S,redacted_documents
209053627S,redacted_documents
657332982S,redacted_documents
955197769S,redacted_documents
889444668S,redacted_documents
276880282S,redacted_documents
787148925S,redacted_documents
134499309S,redacted_documents
216979849S,redacted_documents
918926151S,redacted_documents
472424746S,redacted_documents
263174679S,redacted_documents
515790294S,redacted_documents
994806951S,redacted_documents
219228160S,redacted_documents
884668527S,redacted_documents
767574947S,redacted_documents
209179363S,redacted_documents
720822143S,redacted_documents
686623298S,redacted_documents
626343664S,redacted_documents
